EXPERIMENT2_1.CSV,,,,,,,,,,,,,,,
min_spacing,iter_window_len,crazy_var,window_length,step1_benchmarks,step15_usage,,,,,,,,,,
0.33,0.1,60,200,"[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,,,,,,,,,,
subject,avg diff,setting.step1_usage,setting.step1_benchmarks,setting.step15_usage,setting.step2_usage,setting.step3_usage,,,good ones,,,,,,
"['filip2', 'hayden2', 'roy1']",16.01228346,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,2,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.17731925,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,1,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.74452045,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,3,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.94936931,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,1,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.21038073,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,4,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.24569703,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,1,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.35693373,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,5,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",16.21942138,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,1,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",15.58018301,"[1, 0, 0, 1, 1]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,6,2,,,"[1, 0, 0, 1, 1]",,,,,,
"['filip2', 'hayden2', 'roy1']",21.44357756,"[1, 0, 0, 1, 2]","[[0, 0], [1.01, 0], [1.025, 0], [1.05, 0], [0.25, 0]]",1,1,1,,, ,,,,,,
